date,avg_price,min_price,max_price,mandi_count,missing_data,day,month,day_of_week,lag_1,lag_7,lag_14,lag_30,ma_7,ma_14,ma_30
2025-05-28,1158.6842105263158,640.0,1733.0,57.0,0,28,5,2,1181.4083018867925,997.6613559322035,1054.7661290322583,1026.931052631579,1097.1941094755969,1056.5980692168268,1220.6724178316992
2025-05-29,1223.3529411764705,500.0,2000.0,68.0,0,29,5,3,1158.6842105263158,1016.55875,1032.8870967741937,1016.9038888888889,1126.7361367865212,1070.202772388418,1227.5540529079522
2025-05-30,1199.732142857143,700.0,1650.0,56.0,0,30,5,4,1223.3529411764705,1059.9103703703704,1051.52125,1026.9130303030304,1146.710675713203,1080.7892647353567,1233.3146899930894
2025-05-31,1131.7358490566037,350.0,1800.0,53.0,0,31,5,5,1199.732142857143,1020.7918867924528,1018.5416666666666,2372.8214285714284,1162.5598131795102,1088.8745634774953,1191.9451706759285
2025-06-01,1890.8048780487804,600.0,3500.0,82.0,0,1,6,6,1131.7358490566037,1128.5714285714287,1049.0625,2063.76,1271.4503059619892,1148.9990190524081,1186.1799999442212
2025-06-02,2043.245283018868,1085.0,3105.0,53.0,0,2,6,0,1890.8048780487804,1114.4338181818182,964.1081666666666,2025.6043055555556,1404.137658081568,1226.0802416489937,1186.7680325263316
2025-06-03,1998.5692307692307,1300.0,3000.0,65.0,0,3,6,1,2043.245283018868,1181.4083018867925,998.2321666666667,1267.8749019607844,1520.8749336362016,1297.5328890848912,1211.1245101532797
2025-06-04,1266.6666666666667,850.0,2000.0,27.0,0,4,6,2,1998.5692307692307,1158.6842105263158,997.6613559322035,964.0524193548387,1536.3009987991088,1316.747554137353,1221.2116517303405
2025-06-05,1015.6470689655172,530.0,2000.0,58.0,0,5,6,3,1266.6666666666667,1223.3529411764705,1016.55875,1167.3030303030303,1506.6287313404014,1316.6824340634614,1216.1564530190903
2025-06-06,1224.9282352941177,600.0,1866.0,51.0,0,6,6,4,1015.6470689655172,1199.732142857143,1059.9103703703704,1339.7777777777778,1510.228173117112,1328.4694244151576,1212.3281349363017
